oid,category
749208109,esport
452466036,martial_arts
161038103,tennis
663621910,esport
566255305,tennis
332983824,basketball
306441436,autosport
770457906,volleyball
720955404,boardgames
950885012,volleyball
623907520,athletics
357676832,esport
463889624,boardgames
769116238,autosport
902512702,winter_sport
573984210,hockey
867549202,boardgames
469446016,football
517149005,basketball
631811222,tennis
289454822,volleyball
633244217,winter_sport
54310919,volleyball
731046922,athletics
759095431,autosport
23592715,winter_sport
568705033,hockey
746261621,boardgames
223960908,hockey
343811314,martial_arts
39021409,motosport
433430409,winter_sport
191288802,basketball
773806324,winter_sport
42587423,autosport
909050028,volleyball
381764623,autosport
896686111,athletics
759592926,winter_sport
475206109,volleyball
123458214,winter_sport
733364110,autosport
571093038,volleyball
86508807,tennis
982942625,motosport
150043234,motosport
194604309,basketball
142857803,martial_arts
53073826,volleyball
444234900,tennis
735418021,tennis
710293600,volleyball
78410435,martial_arts
529343505,hockey
234810038,motosport
939038022,football
624444012,boardgames
10212412,volleyball
249455008,boardgames
816073817,motosport
292582612,winter_sport
168872231,martial_arts
610073730,tennis
804591616,extreme
708450700,winter_sport
595692823,volleyball
375824633,winter_sport
424194001,basketball
675267313,winter_sport
380261015,boardgames
713757600,esport
698363821,martial_arts
163267719,winter_sport
28225423,hockey
302563336,autosport
142601735,winter_sport
742710000,hockey
10353705,extreme
855343237,boardgames
42843917,autosport
750586033,martial_arts
111296917,boardgames
746261621,boardgames
649301435,martial_arts
954498427,basketball
891104532,martial_arts
27707002,basketball
378995810,martial_arts
591630036,basketball
476458720,autosport
994379631,tennis
567098537,hockey
282476217,basketball
663005300,tennis
224117102,esport
360837705,football
226571001,autosport
695496003,martial_arts
443224606,extreme
301803518,motosport
3914130,boardgames
692130106,basketball
415497137,boardgames
21334510,football
479057125,basketball
245636707,tennis
569162732,esport
191288802,extreme
249638431,tennis
697977732,volleyball
647248211,martial_arts
332820822,boardgames
749981730,winter_sport
74069810,motosport
652140412,winter_sport
56456918,martial_arts
184257327,motosport
244390012,motosport
429114239,extreme
880844709,athletics
169782234,autosport
449702027,basketball
379077831,boardgames
298814214,football
638216721,football
675028903,motosport
580528518,esport
464496500,martial_arts
724673712,athletics
542970915,tennis
967849804,football
424965336,esport
222516037,martial_arts
74652019,football
758394115,boardgames
514263414,volleyball
181151513,basketball
901319525,extreme
307052612,motosport
327143311,winter_sport
991629126,winter_sport
730917226,hockey
720971414,winter_sport
371194832,volleyball
96550538,martial_arts
963669106,esport
883757433,tennis
429095315,tennis
952343224,boardgames
154620504,athletics
416747616,martial_arts
953467218,hockey
582543434,autosport
931986732,basketball
867549202,boardgames
95038303,athletics
153599208,esport
28624709,basketball
199165412,basketball
527137328,football
780087912,extreme
749981730,winter_sport
931986732,athletics
669566726,hockey
388651911,winter_sport
388468131,boardgames
907386212,football
780661336,motosport
859305226,football
656741409,extreme
732864905,esport
312888017,martial_arts
692638318,football
577870231,basketball
714234514,autosport
817402220,extreme
150273323,athletics
661657826,autosport
557484721,tennis
229925816,esport
19765518,football
806603917,winter_sport
966922207,basketball
816892913,martial_arts
738676239,esport
461441908,boardgames
472368600,basketball
27943630,tennis
910049717,athletics
753336639,martial_arts
137256429,autosport
488107817,winter_sport
432194902,martial_arts
